"method","accuracy","auc","recall","specificity","precision","f1","balanced_accuracy","n_features_used","family"
"mlp_l1",0.817535281697966,0.774401899639451,0.378391959798995,0.942217149379369,0.650259067357513,0.478398983481576,0.660304554589182,23,"MLP"
"mlp_l2",0.812534726080676,0.771464757085477,0.378391959798995,0.935796832643744,0.625935162094763,0.471656749138741,0.657094396221369,23,"MLP"
"mlp_unreg",0.811090121124569,0.767386153194276,0.380904522613065,0.933228705949493,0.618270799347471,0.471393034825871,0.657066614281279,23,"MLP"
"mlp_enet",0.810867874208245,0.766688629335863,0.383417085427136,0.932229990012841,0.616316639741519,0.4727385377943,0.657823537719988,23,"MLP"
"svm_l2_rbf",0.798533170352261,0.745745993485763,0.391959798994975,0.913967755742617,0.563991323210412,0.462496294100208,0.652963777368796,27,"SVM"
"logistic_unreg",0.806756306256251,0.72263378527679,0.228643216080402,0.97089456413183,0.690440060698027,0.343525858814647,0.599768890106116,26,"Logistic"
"enet",0.807423047005223,0.722488889016344,0.229145728643216,0.971607932658011,0.69618320610687,0.344801512287335,0.600376830650614,26,"Penalised linear"
"lasso_l1",0.807200800088899,0.722286421406507,0.228140703517588,0.971607932658011,0.695252679938744,0.343548997351494,0.5998743180878,25,"Penalised linear"
"ridge_l2",0.80508945438382,0.722254373594331,0.202010050251256,0.976316164930803,0.707746478873239,0.314308053166536,0.58916310759103,27,"Penalised linear"
"svm_unreg_hardmargin",0.806978553172575,0.719696427636827,0.228643216080402,0.971179911542303,0.692541856925419,0.343785417453721,0.599911563811352,27,"SVM"
"svm_l2_linear",0.807423047005223,0.719664809996625,0.231658291457286,0.97089456413183,0.693233082706767,0.347269303201507,0.601276427794558,27,"SVM"
"svm_l1",0.799422158017558,0.718233591986185,0.168844221105528,0.978456270509345,0.68993839835729,0.271295922486879,0.573650245807436,25,"SVM"
"svm_enet",0.799311034559395,0.718233448595523,0.166834170854271,0.978884291625054,0.691666666666667,0.268825910931174,0.572859231239662,26,"SVM"
